date,isin,price
2022-12-31,JPY,0.0071
2023-05-19,SPICHA,76.7
2023-05-19,IMAE,68.94
2023-05-19,CSPX,437.1
2023-05-19,AJEUAS,148.86
2023-05-19,LCJD,15.195
2023-05-19,AEEM,4.351
2023-05-19,IEAC,112.28
2023-05-19,LQDE,100.3
2023-05-19,IGLO,101.67
2023-05-19,AUUSIUSD,63.36
2023-05-19,SVUSA,223.35
2023-05-19,EPRA,56.8
2023-05-19,BRK B,329.76
2023-05-19,ACWIA,145.02
2023-05-19,immovision,7608.0
2023-05-19,EUR,0.9733
2023-05-19,USD,0.903
2023-05-19,CHF,1.0
2023-05-19,JPY,0.0065
2023-11-10,SPICHA,68.34
2023-11-10,IMAE,66.69
2023-11-10,CSPX,455.05
2023-11-10,AJEUAS,143.1
2023-11-10,LCJD,15.28
2023-11-10,AEEM,4.31
2023-11-10,IEAC,110.8
2023-11-10,LQDE,95.75
2023-11-10,IGLO,86.99
2023-11-10,AUUSIUSD,63.7
2023-11-10,SVUSA,216.05
2023-11-10,EPRA,54.85
2023-11-10,BRK B,349.02
2023-11-10,ACWIA,145.38
2023-11-10,immovision,7922.0
2023-11-10,EUR,0.96221
2023-11-10,USD,0.90522
2023-11-10,CHF,1.0
2023-11-10,JPY,0.006
2023-12-29,SPICHA,71.32
2023-12-29,IMAE,71.93
2023-12-29,CSPX,502.55
2023-12-29,AJEUAS,153.1
2023-12-29,LCJD,16.46
2023-12-29,AEEM,4.53
2023-12-29,IEAC,111.97
2023-12-29,LQDE,104.72
2023-12-29,IGLO,94.01
2023-12-29,AUUSIUSD,66.56
2023-12-29,SVUSA,227.9
2023-12-29,EPRA,61.57
2023-12-29,BRK B,357.51
2023-12-29,ACWIA,162.54
2023-12-29,immovision,7961.0
2023-12-29,EUR,0.9296
2023-12-29,USD,0.8409
2023-12-29,CHF,1.0
2023-12-29,JPY,0.0059
2024-03-08,SPICHA,71.66
2024-03-08,IMAE,75.84
2024-03-08,CSPX,541.79
2024-03-08,AJEUAS,158.64
2024-03-08,LCJD,18.376
2024-03-08,AEEM,4.6410
2024-03-08,IEAC,113.615
2024-03-08,LQDE,103.51
2024-03-08,IGLO,79.988
2024-03-08,AUUSIUSD,69.90
2024-03-08,SVUSA,227.5
2024-03-08,EPRA,60.40
2024-03-08,BRK B,403.15
2024-03-08,ACWIA,172.66
2024-03-08,immovision,7961.0
2024-03-08,EUR,0.96
2024-03-08,USD,0.87709
2024-03-08,CHF,1.0
2024-03-08,JPY,0.0060
2024-05-15,ACWIA,176.89
2024-05-15,AEEM,4.98
2024-05-15,AUUSIUSD,76.26
2024-05-15,AJEUAS,167.64
2024-05-15,BRK B,410.49
2024-05-15,CSPX,552.8
2024-05-15,EPRA,60.73
2024-05-15,IE00B4L5Y983,99.12
2024-05-15,IEAC,115.92
2024-05-15,IGLO,89.13
2024-05-15,IMAE,80.05
2024-05-15,LCJD,17.45
2024-05-15,LQDE,101
2024-05-15,SPICHA,77.39
2024-05-15,SVUSA,270
2024-05-15,immovision,7961.0
2024-05-15,EUR,0.98019
2024-05-15,USD,0.90541
2024-05-15,CHF,1.0
2024-05-15,JPY,0.0058
2024-08-02,ACWIA,178.02
2024-08-02,AEEM,4.8204
2024-08-02,AUUSIUSD,79.17
2024-08-02,AJEUAS,166.44
2024-08-02,BRK B,429.01
2024-08-02,CSPX,566.65
2024-08-02,EPRA,63.24
2024-08-02,IE00B4L5Y983,99.12
2024-08-02,IEAC,112.02
2024-08-02,IGLO,92.16
2024-08-02,IMAE,77.10
2024-08-02,LCJD,16.80
2024-08-02,LQDE,104.14
2024-08-02,SPICHA,78.16
2024-08-02,SVUSA,271.45
2024-08-02,immovision,8203
2024-08-02,EUR,0.9428
2024-08-02,USD,0.8652
2024-08-02,CHF,1.0
2024-08-02,JPY,0.0059

